Experiment,Accuracy,Precision,Recall,F1-Score,Macro Precision,Macro Recall,Macro F1-Score
Majority_Class_Benchmark,0.3812584223074531,0.1453579845803682,0.3812584223074531,0.210471816472317,0.0953146055768632,0.25,0.1380112570356473
Baseline_Unigram_TFIDF_LogReg,0.7002176842541723,0.7090056110085791,0.7002176842541723,0.6914880373514035,0.7039481108662163,0.5997942058573404,0.6294578373238633
Final_WordChar_TFIDF_LogReg_C15,0.7103762827822121,0.7120811916661833,0.7103762827822121,0.7048325835871702,0.6973685099162032,0.6244808684034654,0.6492454639464709
